chr1,1,50000001
chr1,50000001,100000001
chr1,100000001,150000001
chr1,150000001,200000001
chr1,200000001,248956422
chr2,1,50000001
chr2,50000001,100000001
chr2,100000001,150000001
chr2,150000001,200000001
chr2,200000001,242193529
chr3,1,50000001
chr3,50000001,100000001
chr3,100000001,150000001
chr3,150000001,198295559
chr4,1,50000001
chr4,50000001,100000001
chr4,100000001,150000001
chr4,150000001,190214555
chr5,1,50000001
chr5,50000001,100000001
chr5,100000001,150000001
chr5,150000001,181538259
